Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
08/18/2025,BXM PLUS Aug 2025 028009777647          AR,14.10,"W0HN9HSKZM1 8009367389
BXM PLUS Aug 2025 02737
8009777647
AR
Description : REFER TO RECEIPT Price : 0.00
8009367389",BXM PLUS Aug 2025 028009777647          AR,1000 NORTH BROADWAY,"FAYETTEVILLE
AR",72701,UNITED STATES,'320252300132034595',Merchandise & Supplies-Internet Purchase
08/15/2025,STREAMLINE MEDIA        STREAMLINE.COM/BILL       CA,29.99,"259601928:1 STREAMLINE.COM/BILL
STREAMLINE MEDIA
STREAMLINE.COM/BILL
CA
STREAMLINE.COM/BILL",STREAMLINE MEDIA        STREAMLINE.COM/BILL       CA,"1234 LINCOLN BLVD
STE 100","LOS ANGELES
CA",90001-1234,UNITED STATES,'320252270025537517',Communications-Cable & Internet Comm
08/15/2025,Platinum Digital Entertainment Credit,-20.00,"STREAMLINE MEDIA
Platinum Digital Entertainment Credit",Platinum Digital Entertainment Credit,,,,,'320252280054135970',Fees & Adjustments-Fees & Adjustments
08/10/2025,NYC FERRY           844-469-3377        NY,24.00,"NYCFSPB5361 FERRY
NYC FERRY
844-469-3377
NY
FERRY",NYC FERRY           844-469-3377        NY,PIER 3 EMBARCADERO,"SAN FRANCISCO
CA",94104,UNITED STATES,'320252230929423563',Entertainment-General Attractions
08/09/2025,NYC FERRY           844-469-3377        NY,24.00,"NYCFSPB5361 FERRY
NYC FERRY
844-469-3377
NY
FERRY",NYC FERRY           844-469-3377        NY,PIER 3 EMBARCADERO,"SAN FRANCISCO
CA",94104,UNITED STATES,'320252220904557576',Entertainment-General Attractions
08/02/2025,ONLINE PAYMENT - THANK YOU,-49.49,ONLINE PAYMENT - THANK YOU,ONLINE PAYMENT - THANK YOU,,,,,'320252150659913459',
07/29/2025,VIEWFLOW.COM         866-579-0000        CA,19.59,"50711169996 CABLE & PAY TV
VIEWFLOW.COM
866-579-0000
CA
CABLE & PAY TV",VIEWFLOW.COM         866-579-0000        CA,200 PIONEER WAY,"BURBANK
CA",91501-2345,UNITED STATES,'320252100557880925',Communications-Cable & Internet Comm
07/29/2025,NYC FERRY           844-469-3377        NY,9.00,"E632F3EC-AA FERRY
NYC FERRY
844-469-3377
NY
FERRY",NYC FERRY           844-469-3377        NY,PIER 3 EMBARCADERO,"SAN FRANCISCO
CA",94104,UNITED STATES,'320252110589619440',Entertainment-General Attractions
07/29/2025,NYC FERRY           844-469-3377        NY,9.00,"D5E632B9-AB FERRY
NYC FERRY
844-469-3377
NY
FERRY",NYC FERRY           844-469-3377        NY,PIER 3 EMBARCADERO,"SAN FRANCISCO
CA",94104,UNITED STATES,'320252110592109967',Entertainment-General Attractions
07/28/2025,CLEARWAVE MOBILE           NEW YORK            NY,19.91,"CH_3RPNURFB +19879161177
CLEARWAVE MOBILE
NEW YORK
NY
+19879161177",CLEARWAVE MOBILE           NEW YORK            NY,"500 WEST 33RD ST
3RD FLOOR","NEW YORK
NY",10017,UNITED STATES,'320252090527076198',Communications-Mobile Telecom
07/18/2025,Platinum Retailer+ Credit,-14.10,"BXM PLUS Jul 2025 02737
Platinum Retailer+ Credit",Platinum Retailer+ Credit,,,,,'320252010297979350',Fees & Adjustments-Fees & Adjustments
07/18/2025,BXM PLUS Jul 2025 028009777647          AR,14.10,"WIJJVH3G1SC 8009367389
BXM PLUS Jul 2025 02737
8009777647
AR
Description : REFER TO RECEIPT Price : 0.00
8009367389",BXM PLUS Jul 2025 028009777647          AR,1000 NORTH BROADWAY,"FAYETTEVILLE
AR",72701,UNITED STATES,'320252000286105081',Merchandise & Supplies-Internet Purchase
07/15/2025,STREAMLINE MEDIA        STREAMLINE.COM/BILL       CA,29.99,"259601928:1 STREAMLINE.COM/BILL
STREAMLINE MEDIA
STREAMLINE.COM/BILL
CA
STREAMLINE.COM/BILL",STREAMLINE MEDIA        STREAMLINE.COM/BILL       CA,"1234 LINCOLN BLVD
STE 100","LOS ANGELES
CA",90001-1234,UNITED STATES,'320251960157102273',Communications-Cable & Internet Comm
07/15/2025,Platinum Digital Entertainment Credit,-20.00,"STREAMLINE MEDIA
Platinum Digital Entertainment Credit",Platinum Digital Entertainment Credit,,,,,'320251970184166927',Fees & Adjustments-Fees & Adjustments
07/12/2025,ONLINE PAYMENT - THANK YOU,-128.99,ONLINE PAYMENT - THANK YOU,ONLINE PAYMENT - THANK YOU,,,,,'320251930073324186',
06/29/2025,VIEWFLOW.COM         866-579-0000        CA,19.59,"49351967813 CABLE & PAY TV
VIEWFLOW.COM
866-579-0000
CA
CABLE & PAY TV",VIEWFLOW.COM         866-579-0000        CA,200 PIONEER WAY,"BURBANK
CA",91501-2345,UNITED STATES,'320251800718500854',Communications-Cable & Internet Comm
06/28/2025,CLEARWAVE MOBILE           NEW YORK            NY,19.91,"CH_3REVZMFB +19879161177
CLEARWAVE MOBILE
NEW YORK
NY
+19879161177",CLEARWAVE MOBILE           NEW YORK            NY,"500 WEST 33RD ST
3RD FLOOR","NEW YORK
NY",10017,UNITED STATES,'320251790694499319',Communications-Mobile Telecom
06/18/2025,Platinum Retailer+ Credit,-14.10,"BXM PLUS JUN 2025
Platinum Retailer+ Credit",Platinum Retailer+ Credit,,,,,'320251700430684699',Fees & Adjustments-Fees & Adjustments
06/18/2025,BXM PLUS JUN 2025   WALMART.COM         AR,14.10,"W26R0DGV1DI 800-925-6278
BXM PLUS JUN 2025
WALMART.COM
AR
Description : APPAREL HSWRS/ACC Price : 0.00
800-925-6278",BXM PLUS JUN 2025   WALMART.COM         AR,1000 NORTH BROADWAY,"FAYETTEVILLE
AR",72701,UNITED STATES,'320251690404507045',Merchandise & Supplies-Internet Purchase
06/15/2025,STREAMLINE MEDIA        STREAMLINE.COM/BILL       CA,29.99,"259601928:1 STREAMLINE.COM/BILL
STREAMLINE MEDIA
STREAMLINE.COM/BILL
CA
STREAMLINE.COM/BILL",STREAMLINE MEDIA        STREAMLINE.COM/BILL       CA,"1234 LINCOLN BLVD
STE 100","LOS ANGELES
CA",90001-1234,UNITED STATES,'320251660323469502',Communications-Cable & Internet Comm
06/15/2025,Platinum Digital Entertainment Credit,-20.00,"STREAMLINE MEDIA
Platinum Digital Entertainment Credit",Platinum Digital Entertainment Credit,,,,,'320251670348153103',Fees & Adjustments-Fees & Adjustments
06/10/2025,VCN*NY STATE VITAL RALBANY              NY,79.50,"203413650   6157589162
VCN*NY STATE VITAL REC
ALBANY
NY
6157589162",VCN*NY STATE VITAL RALBANY              NY,733 BROADWAY RM M01,"ALBANY
NY",12237,UNITED STATES,'320251620218938751',Other-Government Services
06/02/2025,ONLINE PAYMENT - THANK YOU,-536.68,ONLINE PAYMENT - THANK YOU,ONLINE PAYMENT - THANK YOU,,,,,'320251530982114633',
