Date,Description,Amount,Balance,Post Date
09/19/2025,HARBOR MUSIC HALL        BROOKLYN     NY,$12.59,$0.00,09/21/2025
09/19/2025,Patreon* Membership      SEAMLESS.COM NY,$56.62,$0.00,09/22/2025
09/20/2025,NIGHTHAWK PIZZA          NEW YORK     NY,$12.95,$0.00,09/21/2025
09/20/2025,METRO GAS ELECTRIC       BOOKSHOP.ORG NY,$5.43,$0.00,09/22/2025
09/20/2025,APEX HARDWARE            New York     NY,$44.52,$0.00,09/22/2025
09/21/2025,SP NORTHCRAFT SHOP       g.co/helppay#CA,$114.47,$0.00,09/22/2025
09/22/2025,OMNYTRANSIT*             866-263-8325 MA,$14.14,$0.00,09/23/2025
09/22/2025,THE MORNING PRESS        801-413-7200 CA,$13.99,$0.00,09/23/2025
09/22/2025,THE COPPER RAIL          800-653-8000 CA,$30.69,$0.00,09/23/2025
09/23/2025,Altitude Fitness         GOFORWARD.ORG M,$37.36,$0.00,09/23/2025
09/23/2025,RIDGELINE BOOKS          nabucasa.com CA,$18.10,$0.00,09/24/2025
09/23/2025,PEAK FLOW YOGA           Internet     CA,$17.42,$0.00,09/24/2025
09/24/2025,MESA VERDE KITCHEN       SEAMLESS.COM NY,$28.58,$0.00,09/25/2025
09/26/2025,CORNERSTONE MARKET       Springfield  VA,$6.47,$0.00,09/28/2025
09/26/2025,HOME ASSISTANT CLOUD     PADDLE.COM   NY,$91.85,$0.00,09/28/2025
09/27/2025,CONSUMERREPORTS.ORG      BROOKLYN     NY,$17.23,$0.00,09/29/2025
09/27/2025,WHYHUNGER ORG            SEAMLESS.COM NY,$21.58,$0.00,09/29/2025
09/28/2025,TST* RED OAK TAVERN      NEW YORK     NY,$27.60,$0.00,09/29/2025
09/29/2025,THE AMBER ROOM           BOOKSHOP.ORG NY,$14.14,$0.00,09/30/2025
09/29/2025,STONE HOLLOW COFFEE      New York     NY,$5.35,$0.00,09/30/2025
09/30/2025,ROOFTOP PILSNER CO       g.co/helppay#CA,$25.00,$0.00,09/30/2025
09/30/2025,SHOPSTREAM *ORDER        866-263-8325 MA,$20.00,$0.00,10/01/2025
09/30/2025,THE YELLOW FINCH         801-413-7200 CA,$16.80,$0.00,10/01/2025
10/01/2025,BAZAAR *ONLINE ORDER     800-653-8000 CA,$140.45,$0.00,10/01/2025
10/01/2025,KIVA MICROLOAN           GOFORWARD.ORG M,$10.80,$0.00,10/02/2025
10/01/2025,EMBER GRAIN COFFEE       nabucasa.com CA,$37.62,$0.00,10/02/2025
10/01/2025,SQ *THE PAGE TURNER      Internet     CA,$396.28,$0.00,10/03/2025
10/02/2025,THE THREAD HOUSE         SEAMLESS.COM NY,$4.13,$0.00,10/03/2025
10/02/2025,CITYWIDE PER INS         Springfield  VA,$93.00,$0.00,10/03/2025
10/02/2025,GREENPATH FUND           PADDLE.COM   NY,$59.50,$0.00,10/03/2025
10/02/2025,STRONGHOLD GYM           BROOKLYN     NY,$271.10,$0.00,10/03/2025
10/02/2025,HOLLOW TREE ROASTERS     SEAMLESS.COM NY,$12.79,$0.00,10/05/2025
10/03/2025,AUTOMATIC PAYMENT - THANK YOU,($2883.09),$0.00,10/03/2025
10/03/2025,RIDEPATH *TRIP           NEW YORK     NY,$225.00,$0.00,10/03/2025
10/03/2025,DRIFTWOOD KITCHEN        BOOKSHOP.ORG NY,$36.52,$0.00,10/06/2025
10/04/2025,GROVE MARKET             New York     NY,$10.00,$0.00,10/05/2025
10/04/2025,THE VIOLET FORK          g.co/helppay#CA,$12.95,$0.00,10/05/2025
10/04/2025,CENTRAL PARKING WEB      866-263-8325 MA,$60.05,$0.00,10/06/2025
10/05/2025,GOFORWARD CAMPAIGN       801-413-7200 CA,$14.98,$0.00,10/06/2025
10/05/2025,COBBLESTONE ALE HSE      800-653-8000 CA,$7.61,$0.00,10/07/2025
10/06/2025,FIELDSTONE GROCERY       GOFORWARD.ORG M,$14.14,$0.00,10/07/2025
10/06/2025,SPECTACLE EVENT CO       nabucasa.com CA,$29.90,$0.00,10/07/2025
10/07/2025,SUNDOG THAI KITCHEN      Internet     CA,$13.05,$0.00,10/08/2025
10/08/2025,COPPER PLATE BISTRO      SEAMLESS.COM NY,$69.21,$0.00,10/08/2025
10/08/2025,MEDICROSS LABS           Springfield  VA,$20.52,$0.00,10/09/2025
10/08/2025,WATERSHED TAPROOM        PADDLE.COM   NY,$15.73,$0.00,10/09/2025
10/09/2025,FSP*THE LONG POUR        BROOKLYN     NY,$14.67,$0.00,10/10/2025
10/09/2025,THE LOFT STUDIO          SEAMLESS.COM NY,$56.99,$0.00,10/12/2025
10/10/2025,COPPERHEAD COFFEE        NEW YORK     NY,$21.78,$0.00,10/12/2025
10/10/2025,DAWN BREAK ROASTERS      BOOKSHOP.ORG NY,$28.03,$0.00,10/12/2025
10/11/2025,STREAM*VIDEOPRIME        New York     NY,$103.09,$0.00,10/12/2025
10/11/2025,CLEARPATH MARKET         g.co/helppay#CA,$34.74,$0.00,10/13/2025
10/11/2025,SALTGRASS ESPRESSO       866-263-8325 MA,$35.00,$0.00,10/13/2025
10/12/2025,PAYPAL *MARKETPLACE      801-413-7200 CA,$10.38,$0.00,10/13/2025
10/13/2025,EB *EVENT PREMIER        800-653-8000 CA,$14.14,$0.00,10/14/2025
10/13/2025,CURB SVC - CAR APP       GOFORWARD.ORG M,$26.92,$0.00,10/14/2025
10/14/2025,TM *STAGEFRONT           nabucasa.com CA,$12.95,$0.00,10/15/2025
10/15/2025,MEADOWBROOK GROCERS      Internet     CA,$17.15,$0.00,10/16/2025
10/17/2025,WORKSPACE*PRO            SEAMLESS.COM NY,$18.50,$0.00,10/19/2025
10/17/2025,HIGHLAND RESORT          Springfield  VA,$19.03,$0.00,10/20/2025
10/18/2025,RIDGEBACK RAMEN          PADDLE.COM   NY,$58.80,$0.00,10/19/2025
10/19/2025,THE GREEN AISLE          BROOKLYN     NY,$20.29,$0.00,10/21/2025
10/20/2025,CITY PHARMACY            SEAMLESS.COM NY,$14.14,$0.00,10/21/2025
10/20/2025,SQ *FIELDSTONE BISTRO    NEW YORK     NY,$20.00,$0.00,10/22/2025
10/20/2025,ARTISAN MARKET           BOOKSHOP.ORG NY,$6.39,$0.00,10/27/2025
10/21/2025,WATERSHED COFFEE         New York     NY,$10.99,$0.00,10/21/2025
10/22/2025,INNOTECH DEVICES         g.co/helppay#CA,$13.99,$0.00,10/23/2025
10/22/2025,HARBOR PORTER PUB        866-263-8325 MA,$39.18,$0.00,10/23/2025
10/22/2025,TRADEPOST *PURCHASE      801-413-7200 CA,$87.69,$0.00,10/23/2025
10/23/2025,THE IRON ANCHOR          800-653-8000 CA,$43.01,$0.00,10/26/2025
10/23/2025,HARVEST TABLE FOODS      GOFORWARD.ORG M,$8.00,$0.00,10/27/2025
10/24/2025,CEDAR RIDGE BURGERS      nabucasa.com CA,$8.90,$0.00,10/26/2025
10/24/2025,FOXHOLE BREWING CO       Internet     CA,$19.50,$0.00,10/27/2025
10/27/2025,THE WAYPOINT GRILL       SEAMLESS.COM NY,$14.14,$0.00,10/28/2025
10/30/2025,SP CLEARPATH GOODS       Springfield  VA,$20.00,$0.00,10/31/2025
10/31/2025,METRO SUPPLY HOUSE       PADDLE.COM   NY,$16.80,$0.00,11/02/2025
11/01/2025,THE MOVEMENT ROOM        BROOKLYN     NY,$37.62,$0.00,11/02/2025
11/03/2025,CORNERSTONE HARDWARE     SEAMLESS.COM NY,$14.14,$0.00,11/04/2025
11/05/2025,AUTOMATIC PAYMENT - THANK YOU,($2898.71),$0.00,11/05/2025
11/07/2025,WF *HOMEGOODS4356        NEW YORK     NY,$30.97,$0.00,11/09/2025
11/08/2025,NORTHNODE HOSTING        BOOKSHOP.ORG NY,$16.22,$0.00,11/09/2025
11/09/2025,SQ *PORCH LIGHT          New York     NY,$90.78,$0.00,11/10/2025
11/10/2025,FERN HILL BAKERY         g.co/helppay#CA,$14.14,$0.00,11/11/2025
11/12/2025,EASTSIDE VISION          866-263-8325 MA,$38.94,$0.00,11/13/2025
11/13/2025,BOOKSHOP ONLINE          801-413-7200 CA,$20.00,$0.00,11/14/2025
11/13/2025,DRIFT BEER GARDEN        800-653-8000 CA,$20.00,$0.00,11/14/2025
11/13/2025,NEWSFEED*DIGITAL         GOFORWARD.ORG M,$20.00,$0.00,11/14/2025
11/13/2025,CLEARWATER YOGA          nabucasa.com CA,$120.00,$0.00,11/14/2025
11/15/2025,CLEARVIEW DENTAL         Internet     CA,$50.00,$0.00,11/16/2025
11/16/2025,NORTHPLEX THEATER        SEAMLESS.COM NY,$358.11,$0.00,11/17/2025
11/17/2025,CLAUDE.AI SUBSCRIPT      Springfield  VA,$14.14,$0.00,11/18/2025
11/22/2025,CIVICWORKS FUND          PADDLE.COM   NY,$13.99,$0.00,11/23/2025
11/24/2025,CLEARPATH SERVICES       BROOKLYN     NY,$14.14,$0.00,11/25/2025
11/30/2025,ATLAS FRESH MARKET       SEAMLESS.COM NY,$25.00,$0.00,11/30/2025
11/30/2025,RIDGELINE SUPPLY         NEW YORK     NY,$16.80,$0.00,12/01/2025
11/30/2025,VOLUME BOOK SHOP         BOOKSHOP.ORG NY,$20.00,$0.00,12/01/2025
12/01/2025,SQ *STORMCROW TAPAS      New York     NY,$14.14,$0.00,12/02/2025
12/01/2025,MERIDIAN OUTFITTERS      g.co/helppay#CA,$39.71,$0.00,12/02/2025
12/02/2025,CITY FRESH GROCERY       866-263-8325 MA,$25.00,$0.00,12/02/2025
12/05/2025,AUTOMATIC PAYMENT - THANK YOU,($712.26),$0.00,12/05/2025
12/05/2025,URBAN HEALTH CLINIC      801-413-7200 CA,$15.69,$0.00,12/07/2025
12/05/2025,MERIDIAN YOGA            800-653-8000 CA,$61.01,$0.00,12/07/2025
12/05/2025,WWW.IRONCLAD-YOGA.COM    GOFORWARD.ORG M,$132.25,$0.00,12/07/2025
12/06/2025,FSI*CITYPOWER BILL       nabucasa.com CA,$91.91,$0.00,12/07/2025
12/06/2025,CLOUDONE* STORAGE        Internet     CA,$141.04,$0.00,12/07/2025
12/07/2025,COASTAL CHARTERS         SEAMLESS.COM NY,$63.25,$0.00,12/08/2025
12/08/2025,MTA*NYCT PAYGO           Springfield  VA,$200.00,$0.00,12/09/2025
12/10/2025,COPPER BLOSSOM CAFE      PADDLE.COM   NY,$14.00,$0.00,12/11/2025
12/11/2025,GB* COMMUNITY FUND       BROOKLYN     NY,$150.00,$0.00,12/12/2025
12/11/2025,FERNWOOD TAQUERIA        SEAMLESS.COM NY,$1387.00,$0.00,12/14/2025
12/15/2025,ISLAND VIEW RESORT       NEW YORK     NY,$14.14,$0.00,12/16/2025
12/17/2025,CITYLOCK STORAGE         BOOKSHOP.ORG NY,$2.90,$0.00,12/19/2025
12/22/2025,RIDGELINE CAFE           New York     NY,$13.99,$0.00,12/23/2025
12/25/2025,TST* KESTREL SUSHI       g.co/helppay#CA,$239.51,$0.00,12/25/2025
12/28/2025,PULSE FITNESS            866-263-8325 MA,$25.00,$0.00,12/28/2025
12/28/2025,COBBLESTONE CANTINA      801-413-7200 CA,$6.70,$0.00,12/29/2025
12/29/2025,RIVERVIEW FOODS          800-653-8000 CA,$1.25,$0.00,12/30/2025
12/30/2025,JADE GARDEN NOODLE       GOFORWARD.ORG M,$163.30,$0.00,12/31/2025
12/31/2025,ANCHOR AND VINE          nabucasa.com CA,$16.80,$0.00,01/01/2026
01/01/2026,GoFundMe Help Fund       Internet     CA,$39.71,$0.00,01/02/2026
01/01/2026,TM *CONCERTPASS          SEAMLESS.COM NY,$35.90,$0.00,01/02/2026
01/03/2026,WILDFLOWER RAMEN         Springfield  VA,$25.00,$0.00,01/04/2026
01/05/2026,AUTOMATIC PAYMENT - THANK YOU,($3027.18),$0.00,01/05/2026
01/08/2026,FOXFIRE NOODLES          PADDLE.COM   NY,$12.03,$0.00,01/08/2026
01/08/2026,METRO STORAGE #410       BROOKLYN     NY,$41.09,$0.00,01/09/2026
01/12/2026,CLOUDSPAN HOSTING        SEAMLESS.COM NY,$2118.00,$0.00,01/13/2026
01/15/2026,MSKCC GIVING             NEW YORK     NY,$17.42,$0.00,01/15/2026
01/15/2026,HARBOR LIGHT SUSHI       BOOKSHOP.ORG NY,$15.51,$0.00,01/16/2026
01/16/2026,IRONWOOD BBQ             New York     NY,$15.29,$0.00,01/18/2026
01/22/2026,MUSICPASS* PREMIUM       g.co/helppay#CA,$5.40,$0.00,01/23/2026
01/22/2026,TST* TERRACOTTA          866-263-8325 MA,$13.99,$0.00,01/23/2026
01/29/2026,TIMBERWOLF HARDWARE      801-413-7200 CA,$14.15,$0.00,01/30/2026
01/31/2026,SUMMIT GRILL             800-653-8000 CA,$16.80,$0.00,02/02/2026
02/01/2026,CINEMALOG                GOFORWARD.ORG M,$39.71,$0.00,02/02/2026
02/01/2026,BIRCH AND BARLEY         nabucasa.com CA,$13.07,$0.00,02/02/2026
02/02/2026,MILLSTONE PIZZA          Internet     CA,$12.99,$0.00,02/02/2026
02/05/2026,AUTOMATIC PAYMENT - THANK YOU,($2755.32),$0.00,02/05/2026
02/09/2026,SWIFTCAR *TRIP           SEAMLESS.COM NY,$17.92,$0.00,02/09/2026
02/10/2026,SUMMIT HOTEL             Springfield  VA,$23.99,$0.00,02/10/2026
02/10/2026,SEATSTREAM TICKETS       PADDLE.COM   NY,$17.37,$0.00,02/11/2026
02/14/2026,TST* GOLDEN SPOON        BROOKLYN     NY,$3.00,$0.00,02/16/2026
02/18/2026,MESHLINK DONATION        SEAMLESS.COM NY,$25.00,$0.00,02/18/2026
02/19/2026,NORTHSIDE APPAREL        NEW YORK     NY,$16.99,$0.00,02/20/2026
02/21/2026,HIGHLAND CLOTHING        BOOKSHOP.ORG NY,$45.46,$0.00,02/22/2026
02/22/2026,NORTHSIDE PHARMACY       New York     NY,$13.99,$0.00,02/23/2026
02/28/2026,HARBOR FERRY SVC         g.co/helppay#CA,$15.83,$0.00,03/02/2026
03/01/2026,ACTBLUE CITYFUND         866-263-8325 MA,$46.98,$0.00,03/02/2026
03/01/2026,E-Z*TOLL REBILL          801-413-7200 CA,$82.55,$0.00,03/02/2026
03/01/2026,RIDGELINE RECORDS        800-653-8000 CA,$12.99,$0.00,03/02/2026
03/03/2026,AUDIOSTREAM*             GOFORWARD.ORG M,$8.01,$0.00,03/04/2026
03/04/2026,TST* THE STILL POINT     nabucasa.com CA,($8.78),$0.00,03/04/2026
03/05/2026,AUTOMATIC PAYMENT - THANK YOU,($223.61),$0.00,03/05/2026
03/06/2026,HARBOR MUSIC HALL        Internet     CA,$1.08,$0.00,03/08/2026
03/07/2026,Patreon* Membership      SEAMLESS.COM NY,$20.69,$0.00,03/08/2026
03/08/2026,NIGHTHAWK PIZZA          Springfield  VA,$5.43,$0.00,03/09/2026
03/08/2026,METRO GAS ELECTRIC       PADDLE.COM   NY,$27.22,$0.00,03/09/2026
03/15/2026,APEX HARDWARE            BROOKLYN     NY,$25.42,$0.00,03/16/2026
03/30/2026,SP NORTHCRAFT SHOP       SEAMLESS.COM NY,$70.77,$0.00,03/30/2026
04/01/2026,OMNYTRANSIT*             NEW YORK     NY,$12.99,$0.00,04/02/2026
04/03/2026,AUTOMATIC PAYMENT - THANK YOU,($316.44),$0.00,04/03/2026
04/17/2026,THE MORNING PRESS        BOOKSHOP.ORG NY,$14.52,$0.00,04/19/2026
